TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B01003,,,,TOTAL POPULATION,,
B01003,,,,Universe:  Total population,,
B01003,05000US01003,"Baldwin County, Alabama",1,Total,"218,022",*****
B01003,05000US01015,"Calhoun County, Alabama",1,Total,"114,277",*****
B01003,05000US01043,"Cullman County, Alabama",1,Total,"83,442",*****
B01003,05000US01049,"DeKalb County, Alabama",1,Total,"71,385",*****
B01003,05000US01051,"Elmore County, Alabama",1,Total,"81,887",*****
B01003,05000US01055,"Etowah County, Alabama",1,Total,"102,501",*****
B01003,05000US01069,"Houston County, Alabama",1,Total,"104,722",*****
B01003,05000US01073,"Jefferson County, Alabama",1,Total,"659,300",*****
B01003,05000US01077,"Lauderdale County, Alabama",1,Total,"92,387",*****
B01003,05000US01081,"Lee County, Alabama",1,Total,"163,941",*****
B01003,05000US01083,"Limestone County, Alabama",1,Total,"96,174",*****
B01003,05000US01089,"Madison County, Alabama",1,Total,"366,519",*****
B01003,05000US01095,"Marshall County, Alabama",1,Total,"96,109",*****
B01003,05000US01097,"Mobile County, Alabama",1,Total,"413,757",*****
B01003,05000US01101,"Montgomery County, Alabama",1,Total,"225,763",*****
B01003,05000US01103,"Morgan County, Alabama",1,Total,"119,089",*****
B01003,05000US01115,"St. Clair County, Alabama",1,Total,"88,690",*****
B01003,05000US01117,"Shelby County, Alabama",1,Total,"215,707",*****
B01003,05000US01121,"Talladega County, Alabama",1,Total,"79,828",*****
B01003,05000US01125,"Tuscaloosa County, Alabama",1,Total,"208,911",*****
B01003,05000US01127,"Walker County, Alabama",1,Total,"63,711",*****
B01003,05000US02020,"Anchorage Municipality, Alaska",1,Total,"291,538",*****
B01003,05000US02090,"Fairbanks North Star Borough, Alaska",1,Total,"98,971",*****
B01003,05000US02170,"Matanuska-Susitna Borough, Alaska",1,Total,"107,610",*****
B01003,05000US04001,"Apache County, Arizona",1,Total,"71,818",*****
B01003,05000US04003,"Cochise County, Arizona",1,Total,"126,770",*****
B01003,05000US04005,"Coconino County, Arizona",1,Total,"142,854",*****
B01003,05000US04013,"Maricopa County, Arizona",1,Total,"4,410,824",*****
B01003,05000US04015,"Mohave County, Arizona",1,Total,"209,550",*****
B01003,05000US04017,"Navajo County, Arizona",1,Total,"110,445",*****
B01003,05000US04019,"Pima County, Arizona",1,Total,"1,039,073",*****
B01003,05000US04021,"Pinal County, Arizona",1,Total,"447,138",*****
B01003,05000US04025,"Yavapai County, Arizona",1,Total,"231,993",*****
B01003,05000US04027,"Yuma County, Arizona",1,Total,"212,128",*****
B01003,05000US05007,"Benton County, Arkansas",1,Total,"272,608",*****
B01003,05000US05031,"Craighead County, Arkansas",1,Total,"108,558",*****
B01003,05000US05045,"Faulkner County, Arkansas",1,Total,"124,806",*****
B01003,05000US05051,"Garland County, Arkansas",1,Total,"99,154",*****
B01003,05000US05069,"Jefferson County, Arkansas",1,Total,"68,114",*****
B01003,05000US05085,"Lonoke County, Arkansas",1,Total,"73,657",*****
B01003,05000US05119,"Pulaski County, Arkansas",1,Total,"392,680",*****
B01003,05000US05125,"Saline County, Arkansas",1,Total,"121,421",*****
B01003,05000US05131,"Sebastian County, Arkansas",1,Total,"127,753",*****
B01003,05000US05143,"Washington County, Arkansas",1,Total,"236,961",*****
B01003,05000US05145,"White County, Arkansas",1,Total,"78,727",*****
B01003,05000US06001,"Alameda County, California",1,Total,"1,666,753",*****
B01003,05000US06007,"Butte County, California",1,Total,"231,256",*****
B01003,05000US06013,"Contra Costa County, California",1,Total,"1,150,215",*****
B01003,05000US06017,"El Dorado County, California",1,Total,"190,678",*****
B01003,05000US06019,"Fresno County, California",1,Total,"994,400",*****
B01003,05000US06023,"Humboldt County, California",1,Total,"136,373",*****
B01003,05000US06025,"Imperial County, California",1,Total,"181,827",*****
B01003,05000US06029,"Kern County, California",1,Total,"896,764",*****
B01003,05000US06031,"Kings County, California",1,Total,"151,366",*****
B01003,05000US06033,"Lake County, California",1,Total,"64,382",*****
B01003,05000US06037,"Los Angeles County, California",1,Total,"10,105,518",*****
B01003,05000US06039,"Madera County, California",1,Total,"157,672",*****
B01003,05000US06041,"Marin County, California",1,Total,"259,666",*****
B01003,05000US06045,"Mendocino County, California",1,Total,"87,606",*****
B01003,05000US06047,"Merced County, California",1,Total,"274,765",*****
B01003,05000US06053,"Monterey County, California",1,Total,"435,594",*****
B01003,05000US06055,"Napa County, California",1,Total,"139,417",*****
B01003,05000US06057,"Nevada County, California",1,Total,"99,696",*****
B01003,05000US06059,"Orange County, California",1,Total,"3,185,968",*****
B01003,05000US06061,"Placer County, California",1,Total,"393,149",*****
B01003,05000US06065,"Riverside County, California",1,Total,"2,450,758",*****
B01003,05000US06067,"Sacramento County, California",1,Total,"1,540,975",*****
B01003,05000US06071,"San Bernardino County, California",1,Total,"2,171,603",*****
B01003,05000US06073,"San Diego County, California",1,Total,"3,343,364",*****
B01003,05000US06075,"San Francisco County, California",1,Total,"883,305",*****
B01003,05000US06077,"San Joaquin County, California",1,Total,"752,660",*****
B01003,05000US06079,"San Luis Obispo County, California",1,Total,"284,010",*****
B01003,05000US06081,"San Mateo County, California",1,Total,"769,545",*****
B01003,05000US06083,"Santa Barbara County, California",1,Total,"446,527",*****
B01003,05000US06085,"Santa Clara County, California",1,Total,"1,937,570",*****
B01003,05000US06087,"Santa Cruz County, California",1,Total,"274,255",*****
B01003,05000US06089,"Shasta County, California",1,Total,"180,040",*****
B01003,05000US06095,"Solano County, California",1,Total,"446,610",*****
B01003,05000US06097,"Sonoma County, California",1,Total,"499,942",*****
B01003,05000US06099,"Stanislaus County, California",1,Total,"549,815",*****
B01003,05000US06101,"Sutter County, California",1,Total,"96,807",*****
B01003,05000US06107,"Tulare County, California",1,Total,"465,861",*****
B01003,05000US06111,"Ventura County, California",1,Total,"850,967",*****
B01003,05000US06113,"Yolo County, California",1,Total,"220,408",*****
B01003,05000US06115,"Yuba County, California",1,Total,"78,041",*****
B01003,05000US08001,"Adams County, Colorado",1,Total,"511,868",*****
B01003,05000US08005,"Arapahoe County, Colorado",1,Total,"651,215",*****
B01003,05000US08013,"Boulder County, Colorado",1,Total,"326,078",*****
B01003,05000US08014,"Broomfield County, Colorado",1,Total,"69,267",*****
B01003,05000US08031,"Denver County, Colorado",1,Total,"716,492",*****
B01003,05000US08035,"Douglas County, Colorado",1,Total,"342,776",*****
B01003,05000US08041,"El Paso County, Colorado",1,Total,"713,856",*****
B01003,05000US08059,"Jefferson County, Colorado",1,Total,"580,233",*****
B01003,05000US08069,"Larimer County, Colorado",1,Total,"350,518",*****
B01003,05000US08077,"Mesa County, Colorado",1,Total,"153,207",*****
B01003,05000US08101,"Pueblo County, Colorado",1,Total,"167,529",*****
B01003,05000US08123,"Weld County, Colorado",1,Total,"314,305",*****
B01003,05000US09001,"Fairfield County, Connecticut",1,Total,"943,823",*****
B01003,05000US09003,"Hartford County, Connecticut",1,Total,"892,697",*****
B01003,05000US09005,"Litchfield County, Connecticut",1,Total,"181,111",*****
B01003,05000US09007,"Middlesex County, Connecticut",1,Total,"162,682",*****
B01003,05000US09009,"New Haven County, Connecticut",1,Total,"857,620",*****
B01003,05000US09011,"New London County, Connecticut",1,Total,"266,784",*****
B01003,05000US09013,"Tolland County, Connecticut",1,Total,"150,921",*****
B01003,05000US09015,"Windham County, Connecticut",1,Total,"117,027",*****
B01003,05000US10001,"Kent County, Delaware",1,Total,"178,550",*****
B01003,05000US10003,"New Castle County, Delaware",1,Total,"559,335",*****
B01003,05000US10005,"Sussex County, Delaware",1,Total,"229,286",*****
B01003,05000US11001,"District of Columbia, District of Columbia",1,Total,"702,455",*****
B01003,05000US12001,"Alachua County, Florida",1,Total,"269,956",*****
B01003,05000US12005,"Bay County, Florida",1,Total,"185,287",*****
B01003,05000US12009,"Brevard County, Florida",1,Total,"596,849",*****
B01003,05000US12011,"Broward County, Florida",1,Total,"1,951,260",*****
B01003,05000US12015,"Charlotte County, Florida",1,Total,"184,998",*****
B01003,05000US12017,"Citrus County, Florida",1,Total,"147,929",*****
B01003,05000US12019,"Clay County, Florida",1,Total,"216,072",*****
B01003,05000US12021,"Collier County, Florida",1,Total,"378,488",*****
B01003,05000US12023,"Columbia County, Florida",1,Total,"70,503",*****
B01003,05000US12031,"Duval County, Florida",1,Total,"950,181",*****
B01003,05000US12033,"Escambia County, Florida",1,Total,"315,534",*****
B01003,05000US12035,"Flagler County, Florida",1,Total,"112,067",*****
B01003,05000US12053,"Hernando County, Florida",1,Total,"190,865",*****
B01003,05000US12055,"Highlands County, Florida",1,Total,"105,424",*****
B01003,05000US12057,"Hillsborough County, Florida",1,Total,"1,436,888",*****
B01003,05000US12061,"Indian River County, Florida",1,Total,"157,413",*****
B01003,05000US12069,"Lake County, Florida",1,Total,"356,495",*****
B01003,05000US12071,"Lee County, Florida",1,Total,"754,610",*****
B01003,05000US12073,"Leon County, Florida",1,Total,"292,502",*****
B01003,05000US12081,"Manatee County, Florida",1,Total,"394,855",*****
