"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","715346","3366"
"5001600US0102","Congressional District 2 (116th Congress), Alabama","678122","7200"
"5001600US0103","Congressional District 3 (116th Congress), Alabama","708409","5269"
"5001600US0104","Congressional District 4 (116th Congress), Alabama","686297","5436"
"5001600US0105","Congressional District 5 (116th Congress), Alabama","725634","447"
"5001600US0106","Congressional District 6 (116th Congress), Alabama","713595","8310"
"5001600US0107","Congressional District 7 (116th Congress), Alabama","660468","11651"
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","737438","*****"
"5001600US0401","Congressional District 1 (116th Congress), Arizona","770392","10069"
"5001600US0402","Congressional District 2 (116th Congress), Arizona","724747","11285"
"5001600US0403","Congressional District 3 (116th Congress), Arizona","798359","16938"
"5001600US0404","Congressional District 4 (116th Congress), Arizona","809426","13838"
"5001600US0405","Congressional District 5 (116th Congress), Arizona","841344","12880"
"5001600US0406","Congressional District 6 (116th Congress), Arizona","783621","16444"
"5001600US0407","Congressional District 7 (116th Congress), Arizona","854749","19640"
"5001600US0408","Congressional District 8 (116th Congress), Arizona","794820","13025"
"5001600US0409","Congressional District 9 (116th Congress), Arizona","794188","17433"
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","724622","3180"
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","765124","1970"
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","819235","3970"
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","704844","5014"
"5001600US0601","Congressional District 1 (116th Congress), California","711282","5829"
"5001600US0602","Congressional District 2 (116th Congress), California","722370","5560"
"5001600US0603","Congressional District 3 (116th Congress), California","748104","6290"
"5001600US0604","Congressional District 4 (116th Congress), California","754525","7273"
"5001600US0605","Congressional District 5 (116th Congress), California","730955","8907"
"5001600US0606","Congressional District 6 (116th Congress), California","777985","11689"
"5001600US0607","Congressional District 7 (116th Congress), California","753640","10495"
"5001600US0608","Congressional District 8 (116th Congress), California","717107","10856"
"5001600US0609","Congressional District 9 (116th Congress), California","775148","7213"
"5001600US0610","Congressional District 10 (116th Congress), California","761485","4897"
"5001600US0611","Congressional District 11 (116th Congress), California","762290","8822"
"5001600US0612","Congressional District 12 (116th Congress), California","764043","7294"
"5001600US0613","Congressional District 13 (116th Congress), California","764304","4454"
"5001600US0614","Congressional District 14 (116th Congress), California","759415","9210"
"5001600US0615","Congressional District 15 (116th Congress), California","789174","7724"
"5001600US0616","Congressional District 16 (116th Congress), California","749967","13450"
"5001600US0617","Congressional District 17 (116th Congress), California","777468","13510"
"5001600US0618","Congressional District 18 (116th Congress), California","750295","13343"
"5001600US0619","Congressional District 19 (116th Congress), California","763028","15176"
"5001600US0620","Congressional District 20 (116th Congress), California","739352","6503"
"5001600US0621","Congressional District 21 (116th Congress), California","713625","16164"
"5001600US0622","Congressional District 22 (116th Congress), California","771095","14653"
"5001600US0623","Congressional District 23 (116th Congress), California","747852","14607"
"5001600US0624","Congressional District 24 (116th Congress), California","738707","1684"
"5001600US0625","Congressional District 25 (116th Congress), California","716257","11777"
"5001600US0626","Congressional District 26 (116th Congress), California","728927","4075"
"5001600US0627","Congressional District 27 (116th Congress), California","705509","8779"
"5001600US0628","Congressional District 28 (116th Congress), California","709450","16156"
"5001600US0629","Congressional District 29 (116th Congress), California","707741","17829"
"5001600US0630","Congressional District 30 (116th Congress), California","766513","21466"
"5001600US0631","Congressional District 31 (116th Congress), California","751527","11068"
"5001600US0632","Congressional District 32 (116th Congress), California","716199","11402"
"5001600US0633","Congressional District 33 (116th Congress), California","704818","14185"
"5001600US0634","Congressional District 34 (116th Congress), California","748812","15668"
"5001600US0635","Congressional District 35 (116th Congress), California","769589","11288"
"5001600US0636","Congressional District 36 (116th Congress), California","752138","7316"
"5001600US0637","Congressional District 37 (116th Congress), California","738174","20109"
"5001600US0638","Congressional District 38 (116th Congress), California","716331","13412"
"5001600US0639","Congressional District 39 (116th Congress), California","726541","9167"
"5001600US0640","Congressional District 40 (116th Congress), California","716470","13855"
"5001600US0641","Congressional District 41 (116th Congress), California","775626","7188"
"5001600US0642","Congressional District 42 (116th Congress), California","826801","9149"
"5001600US0643","Congressional District 43 (116th Congress), California","753696","15690"
"5001600US0644","Congressional District 44 (116th Congress), California","725177","15263"
"5001600US0645","Congressional District 45 (116th Congress), California","797608","8657"
"5001600US0646","Congressional District 46 (116th Congress), California","735139","9991"
"5001600US0647","Congressional District 47 (116th Congress), California","710853","11183"
"5001600US0648","Congressional District 48 (116th Congress), California","719486","7055"
"5001600US0649","Congressional District 49 (116th Congress), California","731513","10614"
"5001600US0650","Congressional District 50 (116th Congress), California","751551","11954"
"5001600US0651","Congressional District 51 (116th Congress), California","747510","16768"
"5001600US0652","Congressional District 52 (116th Congress), California","767172","16888"
"5001600US0653","Congressional District 53 (116th Congress), California","796701","18807"
"5001600US0801","Congressional District 1 (116th Congress), Colorado","841497","5300"
"5001600US0802","Congressional District 2 (116th Congress), Colorado","812357","5440"
"5001600US0803","Congressional District 3 (116th Congress), Colorado","753595","4571"
"5001600US0804","Congressional District 4 (116th Congress), Colorado","836061","6128"
"5001600US0805","Congressional District 5 (116th Congress), Colorado","815466","1838"
"5001600US0806","Congressional District 6 (116th Congress), Colorado","835273","8003"
"5001600US0807","Congressional District 7 (116th Congress), Colorado","801315","8198"
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","715049","6485"
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","699657","5425"
"5001600US0903","Congressional District 3 (116th Congress), Connecticut","712272","7594"
"5001600US0904","Congressional District 4 (116th Congress), Connecticut","739090","5104"
"5001600US0905","Congressional District 5 (116th Congress), Connecticut","706597","9254"
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","967171","*****"
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","702455","*****"
"5001600US1201","Congressional District 1 (116th Congress), Florida","784532","1160"
"5001600US1202","Congressional District 2 (116th Congress), Florida","733749","7486"
"5001600US1203","Congressional District 3 (116th Congress), Florida","758275","8925"
"5001600US1204","Congressional District 4 (116th Congress), Florida","819177","12926"
